index,County,Precinct,Registered Voters,Tisa Smart-Washington (I) (Dem)_Election Day Votes,Tisa Smart-Washington (I) (Dem)_Advanced Voting Votes,Tisa Smart-Washington (I) (Dem)_Absentee by Mail Votes,Tisa Smart-Washington (I) (Dem)_Provisional Votes,Tisa Smart-Washington (I) (Dem)_Choice Total,Total,
0,Rockdale,BA,4803,371,1633,771,1,2776,2776,
1,Rockdale,BT,4007,369,866,465,3,1703,1703,
2,Rockdale,CO,3862,341,1074,484,2,1901,1901,
3,Rockdale,FI,6328,410,2324,1166,0,3900,3900,
4,Rockdale,FS,4038,255,1386,710,0,2351,2351,
5,Rockdale,HC,2411,183,727,358,0,1268,1268,
6,Rockdale,HI,3515,227,1131,553,0,1911,1911,
7,Rockdale,LA,2001,164,465,380,0,1009,1009,
8,Rockdale,LO,3943,374,1239,666,0,2279,2279,
9,Rockdale,MA,3180,285,934,460,1,1680,1680,
10,Rockdale,MI,4226,306,1349,636,3,2294,2294,
11,Rockdale,OT,6135,423,1951,918,4,3296,3296,
12,Rockdale,RO,4633,323,1589,722,1,2635,2635,
13,Rockdale,SM,4308,251,1641,729,4,2625,2625,
14,Rockdale,SP,4781,325,1841,767,1,2934,2934,
15,Rockdale,ST,3334,196,1084,546,3,1829,1829,
