index,County,Precinct,Registered Voters,"George Levett, Jr. (I) (Dem)_Election Day Votes","George Levett, Jr. (I) (Dem)_Advanced Voting Votes","George Levett, Jr. (I) (Dem)_Absentee by Mail Votes","George Levett, Jr. (I) (Dem)_Provisional Votes","George Levett, Jr. (I) (Dem)_Choice Total",Total,
0,Rockdale,BA,4803,380,1657,776,1,2814,2814,
1,Rockdale,BT,4007,390,898,473,2,1763,1763,
2,Rockdale,CO,3862,353,1093,484,3,1933,1933,
3,Rockdale,FI,6328,421,2338,1171,0,3930,3930,
4,Rockdale,FS,4038,263,1403,714,0,2380,2380,
5,Rockdale,HC,2411,188,744,353,0,1285,1285,
6,Rockdale,HI,3515,233,1160,546,0,1939,1939,
7,Rockdale,LA,2001,167,486,383,0,1036,1036,
8,Rockdale,LO,3943,383,1262,666,0,2311,2311,
9,Rockdale,MA,3180,293,946,461,1,1701,1701,
10,Rockdale,MI,4226,313,1375,634,4,2326,2326,
11,Rockdale,OT,6135,427,1979,925,4,3335,3335,
12,Rockdale,RO,4633,322,1609,713,1,2645,2645,
13,Rockdale,SM,4308,256,1681,743,4,2684,2684,
14,Rockdale,SP,4781,324,1860,759,1,2944,2944,
15,Rockdale,ST,3334,199,1117,546,3,1865,1865,
