index,County,Precinct,Registered Voters,Melanie Williams (Rep)_Election Day Votes,Melanie Williams (Rep)_Advanced Voting Votes,Melanie Williams (Rep)_Absentee by Mail Votes,Melanie Williams (Rep)_Provisional Votes,Melanie Williams (Rep)_Choice Total,Tonya P. Anderson (I) (Dem)_Election Day Votes,Tonya P. Anderson (I) (Dem)_Advanced Voting Votes,Tonya P. Anderson (I) (Dem)_Absentee by Mail Votes,Tonya P. Anderson (I) (Dem)_Provisional Votes,Tonya P. Anderson (I) (Dem)_Choice Total,Total,
0,Rockdale,BT,4007,437,804,306,4,1551,180,539,380,0,1099,2650,
1,Rockdale,CO,3862,102,233,102,2,439,289,957,457,2,1705,2144,
2,Rockdale,FI,6328,73,352,160,0,585,375,2177,1118,0,3670,4255,
3,Rockdale,FS,4038,82,297,176,0,555,214,1289,647,0,2150,2705,
4,Rockdale,HI,3515,126,499,166,0,791,167,966,488,0,1621,2412,
5,Rockdale,LA,2001,82,174,94,0,350,117,388,342,0,847,1197,
6,Rockdale,MI,4226,105,316,122,0,543,246,1218,590,4,2058,2601,
7,Rockdale,OT,6135,65,305,161,1,532,394,1801,869,4,3068,3600,
8,Rockdale,RO,4633,114,477,194,0,785,268,1406,658,2,2334,3119,
9,Rockdale,SM,4308,91,478,174,1,744,206,1422,680,4,2312,3056,
10,Rockdale,SP,4781,96,458,186,2,742,270,1626,681,0,2577,3319,
11,Rockdale,ST,3334,112,542,245,2,901,142,854,457,1,1454,2355,
