index,County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
0,McIntosh,Sapelo Island,53,2,6,1,0,9,13,6,11,0,30,2,0,0,0,2,41,
1,McIntosh,Townsend,564,75,97,118,0,290,18,42,58,0,118,4,0,1,0,5,413,
2,McIntosh,Crescent,1982,120,302,77,0,499,180,415,237,0,832,13,11,8,0,32,1363,
3,McIntosh,Darien,2441,121,693,220,0,1034,69,357,186,0,612,6,20,5,0,31,1677,
4,McIntosh,South Newport,2095,295,652,253,1,1201,49,185,162,0,396,15,12,9,0,36,1633,
5,McIntosh,North Darien,2157,187,614,133,0,934,95,261,154,0,510,11,11,9,0,31,1475,
