index,County,Precinct,Registered Voters,Robert Francis Gore_Election Day Votes,Robert Francis Gore_Advanced Voting Votes,Robert Francis Gore_Absentee by Mail Votes,Robert Francis Gore_Provisional Votes,Robert Francis Gore_Choice Total,Total,
0,McIntosh,Sapelo Island,53,7,9,8,0,24,24,
1,McIntosh,Townsend,564,77,115,138,0,330,330,
2,McIntosh,Crescent,1982,231,519,227,0,977,977,
3,McIntosh,Darien,2441,157,858,320,0,1335,1335,
4,McIntosh,South Newport,2095,303,682,326,1,1312,1312,
5,McIntosh,North Darien,2157,245,694,212,0,1151,1151,
