index,County,Precinct,Registered Voters,Wanda Nelson (I) (Rep)_Election Day Votes,Wanda Nelson (I) (Rep)_Advanced Voting Votes,Wanda Nelson (I) (Rep)_Absentee by Mail Votes,Wanda Nelson (I) (Rep)_Provisional Votes,Wanda Nelson (I) (Rep)_Choice Total,Total,
0,McIntosh,Sapelo Island,53,8,10,8,0,26,26,
1,McIntosh,Townsend,564,89,123,153,0,365,365,
2,McIntosh,Crescent,1982,229,524,228,0,981,981,
3,McIntosh,Darien,2441,160,887,338,0,1385,1385,
4,McIntosh,South Newport,2095,334,742,351,1,1428,1428,
5,McIntosh,North Darien,2157,252,753,222,0,1227,1227,
