index,County,Precinct,Registered Voters,Sheila McNeill (Rep)_Election Day Votes,Sheila McNeill (Rep)_Advanced Voting Votes,Sheila McNeill (Rep)_Absentee by Mail Votes,Sheila McNeill (Rep)_Provisional Votes,Sheila McNeill (Rep)_Choice Total,Total,
0,McIntosh,Sapelo Island,53,5,9,5,0,19,19,
1,McIntosh,Townsend,564,82,111,129,0,322,322,
2,McIntosh,Crescent,1982,207,452,187,0,846,846,
3,McIntosh,Darien,2441,150,805,287,0,1242,1242,
4,McIntosh,South Newport,2095,322,704,312,1,1339,1339,
5,McIntosh,North Darien,2157,245,686,183,0,1114,1114,
