index,County,Precinct,Registered Voters,Mandy Harrison (Rep)_Election Day Votes,Mandy Harrison (Rep)_Advanced Voting Votes,Mandy Harrison (Rep)_Absentee by Mail Votes,Mandy Harrison (Rep)_Provisional Votes,Mandy Harrison (Rep)_Choice Total,Carolyn Palmer (I) (Dem)_Election Day Votes,Carolyn Palmer (I) (Dem)_Advanced Voting Votes,Carolyn Palmer (I) (Dem)_Absentee by Mail Votes,Carolyn Palmer (I) (Dem)_Provisional Votes,Carolyn Palmer (I) (Dem)_Choice Total,Total,
0,McIntosh,Sapelo Island,53,3,6,0,0,9,13,6,12,0,31,40,
1,McIntosh,Townsend,564,72,87,94,0,253,26,50,87,0,163,416,
2,McIntosh,Crescent,1982,106,264,75,0,445,199,453,259,0,911,1356,
3,McIntosh,Darien,2441,107,600,200,0,907,85,454,222,0,761,1668,
4,McIntosh,South Newport,2095,282,619,232,0,1133,77,219,191,1,488,1621,
5,McIntosh,North Darien,2157,159,536,125,0,820,128,334,176,0,638,1458,
