index,County,Precinct,Registered Voters,"Michelle """"Missy"""" Brigman (I) (Rep)_Election Day Votes","Michelle """"Missy"""" Brigman (I) (Rep)_Advanced Voting Votes","Michelle """"Missy"""" Brigman (I) (Rep)_Absentee by Mail Votes","Michelle """"Missy"""" Brigman (I) (Rep)_Provisional Votes","Michelle """"Missy"""" Brigman (I) (Rep)_Choice Total",Total,
0,McIntosh,Sapelo Island,53,6,8,7,0,21,21,
1,McIntosh,Townsend,564,82,116,134,0,332,332,
2,McIntosh,Crescent,1982,221,488,209,0,918,918,
3,McIntosh,Darien,2441,158,841,309,0,1308,1308,
4,McIntosh,South Newport,2095,326,706,308,1,1341,1341,
5,McIntosh,North Darien,2157,247,712,184,0,1143,1143,
