index,County,Precinct,Registered Voters,Sandy McDonald (I) (Rep)_Election Day Votes,Sandy McDonald (I) (Rep)_Advanced Voting Votes,Sandy McDonald (I) (Rep)_Absentee by Mail Votes,Sandy McDonald (I) (Rep)_Provisional Votes,Sandy McDonald (I) (Rep)_Choice Total,Total,
0,McIntosh,Townsend,564,83,116,140,0,339,339,
1,McIntosh,South Newport,2095,322,695,314,0,1331,1331,
