index,County,Precinct,Registered Voters,"Earl L. """"Buddy"""" Carter (I) (Rep)_Election Day Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Advanced Voting Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Absentee by Mail Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Provisional Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Choice Total",Joyce Marie Griggs (Dem)_Election Day Votes,Joyce Marie Griggs (Dem)_Advanced Voting Votes,Joyce Marie Griggs (Dem)_Absentee by Mail Votes,Joyce Marie Griggs (Dem)_Provisional Votes,Joyce Marie Griggs (Dem)_Choice Total,Total,
0,McIntosh,Sapelo Island,53,2,6,2,0,10,13,6,10,0,29,39,
1,McIntosh,Townsend,564,79,96,126,0,301,18,41,51,0,110,411,
2,McIntosh,Crescent,1982,124,302,89,0,515,178,399,241,0,818,1333,
3,McIntosh,Darien,2441,124,699,231,0,1054,62,347,184,0,593,1647,
4,McIntosh,South Newport,2095,309,658,274,1,1242,44,173,155,0,372,1614,
5,McIntosh,North Darien,2157,191,626,145,0,962,94,240,154,0,488,1450,
