index,County,Precinct,Registered Voters,Buddy Deloach (Rep)_Election Day Votes,Buddy Deloach (Rep)_Advanced Voting Votes,Buddy Deloach (Rep)_Absentee by Mail Votes,Buddy Deloach (Rep)_Provisional Votes,Buddy Deloach (Rep)_Choice Total,Total,
0,McIntosh,Sapelo Island,53,7,8,7,0,22,22,
1,McIntosh,Townsend,564,83,118,134,0,335,335,
2,McIntosh,Crescent,1982,211,455,189,0,855,855,
3,McIntosh,Darien,2441,152,828,290,0,1270,1270,
4,McIntosh,South Newport,2095,333,729,328,1,1391,1391,
5,McIntosh,North Darien,2157,248,703,187,0,1138,1138,
