index,County,Precinct,Registered Voters,Shelia J. Thompson (I) (Rep)_Election Day Votes,Shelia J. Thompson (I) (Rep)_Advanced Voting Votes,Shelia J. Thompson (I) (Rep)_Absentee by Mail Votes,Shelia J. Thompson (I) (Rep)_Provisional Votes,Shelia J. Thompson (I) (Rep)_Choice Total,Total,
0,Walker,La Fayette,6547,768,2188,704,1,3661,3661,
1,Walker,Walnut Grove,2212,444,789,206,0,1439,1439,
2,Walker,Rock Spring,6275,695,2710,642,0,4047,4047,
3,Walker,Armuchee Valley,1453,568,240,113,0,921,921,
4,Walker,Mountain,1254,395,240,130,1,766,766,
5,Walker,Chattanooga Valley,6325,890,2241,729,2,3862,3862,
6,Walker,Kensington,1347,366,336,120,2,824,824,
7,Walker,Rossville,6255,595,1869,586,1,3051,3051,
8,Walker,Chickamauga,6890,659,2935,728,1,4323,4323,
9,Walker,Fairyland,1265,170,487,99,0,756,756,
10,Walker,Fairview,3101,416,879,301,1,1597,1597,
