index,County,Precinct,Registered Voters,William H. (Billy) Sims (Rep)_Election Day Votes,William H. (Billy) Sims (Rep)_Advanced Voting Votes,William H. (Billy) Sims (Rep)_Absentee by Mail Votes,William H. (Billy) Sims (Rep)_Provisional Votes,William H. (Billy) Sims (Rep)_Choice Total,Total,
0,Walker,La Fayette,6547,740,2107,678,1,3526,3526,
1,Walker,Walnut Grove,2212,423,767,198,0,1388,1388,
2,Walker,Rock Spring,6275,660,2565,621,0,3846,3846,
3,Walker,Armuchee Valley,1453,556,238,113,0,907,907,
4,Walker,Mountain,1254,401,237,132,1,771,771,
5,Walker,Chattanooga Valley,6325,839,2118,718,2,3677,3677,
6,Walker,Kensington,1347,338,314,113,2,767,767,
7,Walker,Rossville,6255,572,1808,588,1,2969,2969,
8,Walker,Chickamauga,6890,608,2596,678,1,3883,3883,
9,Walker,Fairyland,1265,173,487,97,0,757,757,
10,Walker,Fairview,3101,401,841,296,1,1539,1539,
