index,County,Precinct,Registered Voters,Charles D. Wardlaw (I) (Rep)_Election Day Votes,Charles D. Wardlaw (I) (Rep)_Advanced Voting Votes,Charles D. Wardlaw (I) (Rep)_Absentee by Mail Votes,Charles D. Wardlaw (I) (Rep)_Provisional Votes,Charles D. Wardlaw (I) (Rep)_Choice Total,Total,
0,Walker,La Fayette,6547,776,2200,715,1,3692,3692,
1,Walker,Walnut Grove,2212,444,789,202,0,1435,1435,
2,Walker,Rock Spring,6275,695,2711,647,0,4053,4053,
3,Walker,Armuchee Valley,1453,562,240,116,0,918,918,
4,Walker,Mountain,1254,400,243,130,1,774,774,
5,Walker,Chattanooga Valley,6325,892,2243,719,2,3856,3856,
6,Walker,Kensington,1347,371,339,119,2,831,831,
7,Walker,Rossville,6255,599,1873,587,1,3060,3060,
8,Walker,Chickamauga,6890,663,2950,739,1,4353,4353,
9,Walker,Fairyland,1265,173,492,102,0,767,767,
10,Walker,Fairview,3101,414,879,306,1,1600,1600,
