index,County,Precinct,Registered Voters,Robert A. Stultz (Rep)_Election Day Votes,Robert A. Stultz (Rep)_Advanced Voting Votes,Robert A. Stultz (Rep)_Absentee by Mail Votes,Robert A. Stultz (Rep)_Provisional Votes,Robert A. Stultz (Rep)_Choice Total,Total,
0,Walker,La Fayette,6547,45,153,30,0,228,228,
1,Walker,Walnut Grove,2212,450,802,206,0,1458,1458,
2,Walker,Mountain,1254,399,240,128,1,768,768,
3,Walker,Chattanooga Valley,6325,727,1767,584,1,3079,3079,
4,Walker,Kensington,1347,376,340,114,2,832,832,
5,Walker,Fairyland,1265,171,487,101,0,759,759,
