index,County,Precinct,Registered Voters,Phyllis White Hunter (I) (Rep)_Election Day Votes,Phyllis White Hunter (I) (Rep)_Advanced Voting Votes,Phyllis White Hunter (I) (Rep)_Absentee by Mail Votes,Phyllis White Hunter (I) (Rep)_Provisional Votes,Phyllis White Hunter (I) (Rep)_Choice Total,Total,
0,Walker,La Fayette,6547,765,2146,689,1,3601,3601,
1,Walker,Walnut Grove,2212,435,774,195,0,1404,1404,
2,Walker,Rock Spring,6275,691,2682,615,0,3988,3988,
3,Walker,Armuchee Valley,1453,559,237,108,0,904,904,
4,Walker,Mountain,1254,392,238,119,1,750,750,
5,Walker,Chattanooga Valley,6325,888,2213,702,2,3805,3805,
6,Walker,Kensington,1347,364,332,112,2,810,810,
7,Walker,Rossville,6255,591,1870,571,1,3033,3033,
8,Walker,Chickamauga,6890,449,1957,493,0,2899,2899,
9,Walker,Fairyland,1265,173,489,98,0,760,760,
10,Walker,Fairview,3101,412,867,290,1,1570,1570,
