index,County,Precinct,Registered Voters,Christy Johnson Anderson (I) (Rep)_Election Day Votes,Christy Johnson Anderson (I) (Rep)_Advanced Voting Votes,Christy Johnson Anderson (I) (Rep)_Absentee by Mail Votes,Christy Johnson Anderson (I) (Rep)_Provisional Votes,Christy Johnson Anderson (I) (Rep)_Choice Total,Total,
0,Walker,La Fayette,6547,786,2219,708,1,3714,3714,
1,Walker,Walnut Grove,2212,447,800,205,0,1452,1452,
2,Walker,Rock Spring,6275,700,2731,646,0,4077,4077,
3,Walker,Armuchee Valley,1453,566,250,109,0,925,925,
4,Walker,Mountain,1254,398,237,128,1,764,764,
5,Walker,Chattanooga Valley,6325,886,2261,725,2,3874,3874,
6,Walker,Kensington,1347,372,340,120,2,834,834,
7,Walker,Rossville,6255,593,1887,590,1,3071,3071,
8,Walker,Chickamauga,6890,665,2955,736,1,4357,4357,
9,Walker,Fairyland,1265,174,492,105,0,771,771,
10,Walker,Fairview,3101,414,883,298,1,1596,1596,
