index,County,Precinct,Registered Voters,Jeff Mullis (I) (Rep)_Election Day Votes,Jeff Mullis (I) (Rep)_Advanced Voting Votes,Jeff Mullis (I) (Rep)_Absentee by Mail Votes,Jeff Mullis (I) (Rep)_Provisional Votes,Jeff Mullis (I) (Rep)_Choice Total,Total,
0,Walker,La Fayette,6547,764,2082,683,1,3530,3530,
1,Walker,Walnut Grove,2212,430,753,191,0,1374,1374,
2,Walker,Rock Spring,6275,678,2647,619,0,3944,3944,
3,Walker,Armuchee Valley,1453,565,243,104,0,912,912,
4,Walker,Mountain,1254,392,237,129,1,759,759,
5,Walker,Chattanooga Valley,6325,880,2177,721,2,3780,3780,
6,Walker,Kensington,1347,360,332,103,1,796,796,
7,Walker,Rossville,6255,588,1858,591,1,3038,3038,
8,Walker,Chickamauga,6890,671,2893,719,1,4284,4284,
9,Walker,Fairyland,1265,181,478,102,0,761,761,
10,Walker,Fairview,3101,414,863,296,1,1574,1574,
