index,County,Precinct,Registered Voters,Robert Blakemore (Rep)_Election Day Votes,Robert Blakemore (Rep)_Advanced Voting Votes,Robert Blakemore (Rep)_Absentee by Mail Votes,Robert Blakemore (Rep)_Provisional Votes,Robert Blakemore (Rep)_Choice Total,Bobby McDonald (Dem)_Election Day Votes,Bobby McDonald (Dem)_Advanced Voting Votes,Bobby McDonald (Dem)_Absentee by Mail Votes,Bobby McDonald (Dem)_Provisional Votes,Bobby McDonald (Dem)_Choice Total,Total,
0,Walker,Chattanooga Valley,6325,30,58,14,0,102,12,15,16,0,43,145,
1,Walker,Rossville,6255,479,1676,477,0,2632,184,396,319,1,900,3532,
2,Walker,Fairview,3101,378,795,243,0,1416,79,184,126,0,389,1805,
