index,County,Precinct,Registered Voters,James P. Burton_Election Day Votes,James P. Burton_Advanced Voting Votes,James P. Burton_Absentee by Mail Votes,James P. Burton_Provisional Votes,James P. Burton_Choice Total,Total,
0,Walker,La Fayette,6547,742,2042,679,1,3464,3464,
1,Walker,Walnut Grove,2212,415,746,198,0,1359,1359,
2,Walker,Rock Spring,6275,660,2493,614,0,3767,3767,
3,Walker,Armuchee Valley,1453,532,221,110,0,863,863,
4,Walker,Mountain,1254,376,226,118,1,721,721,
5,Walker,Chattanooga Valley,6325,866,2117,723,2,3708,3708,
6,Walker,Kensington,1347,355,316,108,2,781,781,
7,Walker,Rossville,6255,583,1749,574,1,2907,2907,
8,Walker,Chickamauga,6890,626,2714,693,1,4034,4034,
9,Walker,Fairyland,1265,166,473,102,0,741,741,
10,Walker,Fairview,3101,397,839,292,1,1529,1529,
