index,County,Precinct,Registered Voters,Charlton Gillis (I) (Rep)_Election Day Votes,Charlton Gillis (I) (Rep)_Advanced Voting Votes,Charlton Gillis (I) (Rep)_Absentee by Mail Votes,Charlton Gillis (I) (Rep)_Provisional Votes,Charlton Gillis (I) (Rep)_Choice Total,Total,
0,Atkinson,Pearson County,1802,107,282,39,0,428,428,
1,Atkinson,Willacoochee,1311,81,123,16,0,220,220,
