index,County,Precinct,Registered Voters,James Burchett (I) (Rep)_Election Day Votes,James Burchett (I) (Rep)_Advanced Voting Votes,James Burchett (I) (Rep)_Absentee by Mail Votes,James Burchett (I) (Rep)_Provisional Votes,James Burchett (I) (Rep)_Choice Total,"Evans Primus, Jr. (Dem)_Election Day Votes","Evans Primus, Jr. (Dem)_Advanced Voting Votes","Evans Primus, Jr. (Dem)_Absentee by Mail Votes","Evans Primus, Jr. (Dem)_Provisional Votes","Evans Primus, Jr. (Dem)_Choice Total",Total,
0,Atkinson,Pearson County,1802,232,690,75,0,997,25,69,34,0,128,1125,
1,Atkinson,Axson,742,186,251,26,1,464,19,16,4,0,39,503,
2,Atkinson,Willacoochee,1311,224,286,41,0,551,95,130,38,0,263,814,
3,Atkinson,Pearson City,944,65,143,30,0,238,55,154,40,0,249,487,
