index,County,Precinct,Registered Voters,Fonda H. Lee (I) (Rep)_Election Day Votes,Fonda H. Lee (I) (Rep)_Advanced Voting Votes,Fonda H. Lee (I) (Rep)_Absentee by Mail Votes,Fonda H. Lee (I) (Rep)_Provisional Votes,Fonda H. Lee (I) (Rep)_Choice Total,Total,
0,Atkinson,Pearson County,1802,248,734,86,0,1068,1068,
1,Atkinson,Axson,742,204,252,28,1,485,485,
2,Atkinson,Willacoochee,1311,280,364,74,0,718,718,
3,Atkinson,Pearson City,944,118,268,57,0,443,443,
