index,County,Precinct,Registered Voters,Jake Relihan (I) (Rep)_Election Day Votes,Jake Relihan (I) (Rep)_Advanced Voting Votes,Jake Relihan (I) (Rep)_Absentee by Mail Votes,Jake Relihan (I) (Rep)_Provisional Votes,Jake Relihan (I) (Rep)_Choice Total,Total,
0,Atkinson,Pearson County,1802,252,738,91,0,1081,1081,
1,Atkinson,Axson,742,202,253,27,1,483,483,
2,Atkinson,Willacoochee,1311,280,358,74,0,712,712,
3,Atkinson,Pearson City,944,117,267,60,0,444,444,
