index,County,Precinct,Registered Voters,Tyler Harper (I) (Rep)_Election Day Votes,Tyler Harper (I) (Rep)_Advanced Voting Votes,Tyler Harper (I) (Rep)_Absentee by Mail Votes,Tyler Harper (I) (Rep)_Provisional Votes,Tyler Harper (I) (Rep)_Choice Total,Total,
0,Atkinson,Pearson County,1802,239,713,83,0,1035,1035,
1,Atkinson,Axson,742,194,249,27,1,471,471,
2,Atkinson,Willacoochee,1311,260,328,60,0,648,648,
3,Atkinson,Pearson City,944,102,215,47,0,364,364,
