index,County,Precinct,Registered Voters,Danny Ray Smith (I) (Rep)_Election Day Votes,Danny Ray Smith (I) (Rep)_Advanced Voting Votes,Danny Ray Smith (I) (Rep)_Absentee by Mail Votes,Danny Ray Smith (I) (Rep)_Provisional Votes,Danny Ray Smith (I) (Rep)_Choice Total,Total,
0,Atkinson,Pearson County,1802,87,273,32,0,392,392,
1,Atkinson,Pearson City,944,25,66,13,0,104,104,
