index,County,Precinct,Registered Voters,Tom Morris (Rep)_Election Day Votes,Tom Morris (Rep)_Advanced Voting Votes,Tom Morris (Rep)_Absentee by Mail Votes,Tom Morris (Rep)_Provisional Votes,Tom Morris (Rep)_Choice Total,Total,
0,Atkinson,Pearson County,1802,43,114,9,0,166,166,
1,Atkinson,Axson,742,199,250,27,1,477,477,
