index,County,Precinct,Registered Voters,"Claude “Doodle” White, Jr. (I) (Dem)_Election Day Votes","Claude “Doodle” White, Jr. (I) (Dem)_Advanced Voting Votes","Claude “Doodle” White, Jr. (I) (Dem)_Absentee by Mail Votes","Claude “Doodle” White, Jr. (I) (Dem)_Provisional Votes","Claude “Doodle” White, Jr. (I) (Dem)_Choice Total",Total,
0,Atkinson,Pearson County,1802,240,695,99,0,1034,1034,
1,Atkinson,Axson,742,189,228,27,1,445,445,
2,Atkinson,Willacoochee,1311,259,340,65,0,664,664,
3,Atkinson,Pearson City,944,109,269,64,0,442,442,
