index,County,Precinct,Registered Voters,Cynthia G. Dillingham (I) (Rep)_Election Day Votes,Cynthia G. Dillingham (I) (Rep)_Advanced Voting Votes,Cynthia G. Dillingham (I) (Rep)_Absentee by Mail Votes,Cynthia G. Dillingham (I) (Rep)_Provisional Votes,Cynthia G. Dillingham (I) (Rep)_Choice Total,Total,
0,Atkinson,Pearson County,1802,248,716,89,0,1053,1053,
1,Atkinson,Axson,742,203,252,27,1,483,483,
2,Atkinson,Willacoochee,1311,275,366,69,0,710,710,
3,Atkinson,Pearson City,944,113,245,57,0,415,415,
