county,ai_male_17.5,ai_female_17.5,ai_unknown_17.5,ap_male_17.5,ap_female_17.5,ap_unknown_17.5,bh_male_17.5,bh_female_17.5,bh_unknown_17.5,hp_male_17.5,hp_female_17.5,hp_unknown_17.5,wh_male_17.5,wh_female_17.5,wh_unknown_17.5,ot_male_17.5,ot_female_17.5,ot_unknown_17.5,uk_male_17.5,uk_female_17.5,uk_unknown_17.5,ai_male_18-24,ai_female_18-24,ai_unknown_18-24,ap_male_18-24,ap_female_18-24,ap_unknown_18-24,bh_male_18-24,bh_female_18-24,bh_unknown_18-24,hp_male_18-24,hp_female_18-24,hp_unknown_18-24,wh_male_18-24,wh_female_18-24,wh_unknown_18-24,ot_male_18-24,ot_female_18-24,ot_unknown_18-24,uk_male_18-24,uk_female_18-24,uk_unknown_18-24,ai_male_25-29,ai_female_25-29,ai_unknown_25-29,ap_male_25-29,ap_female_25-29,ap_unknown_25-29,bh_male_25-29,bh_female_25-29,bh_unknown_25-29,hp_male_25-29,hp_female_25-29,hp_unknown_25-29,wh_male_25-29,wh_female_25-29,wh_unknown_25-29,ot_male_25-29,ot_female_25-29,ot_unknown_25-29,uk_male_25-29,uk_female_25-29,uk_unknown_25-29,ai_male_30-34,ai_female_30-34,ai_unknown_30-34,ap_male_30-34,ap_female_30-34,ap_unknown_30-34,bh_male_30-34,bh_female_30-34,bh_unknown_30-34,hp_male_30-34,hp_female_30-34,hp_unknown_30-34,wh_male_30-34,wh_female_30-34,wh_unknown_30-34,ot_male_30-34,ot_female_30-34,ot_unknown_30-34,uk_male_30-34,uk_female_30-34,uk_unknown_30-34,ai_male_35-39,ai_female_35-39,ai_unknown_35-39,ap_male_35-39,ap_female_35-39,ap_unknown_35-39,bh_male_35-39,bh_female_35-39,bh_unknown_35-39,hp_male_35-39,hp_female_35-39,hp_unknown_35-39,wh_male_35-39,wh_female_35-39,wh_unknown_35-39,ot_male_35-39,ot_female_35-39,ot_unknown_35-39,uk_male_35-39,uk_female_35-39,uk_unknown_35-39,ai_male_40-44,ai_female_40-44,ai_unknown_40-44,ap_male_40-44,ap_female_40-44,ap_unknown_40-44,bh_male_40-44,bh_female_40-44,bh_unknown_40-44,hp_male_40-44,hp_female_40-44,hp_unknown_40-44,wh_male_40-44,wh_female_40-44,wh_unknown_40-44,ot_male_40-44,ot_female_40-44,ot_unknown_40-44,uk_male_40-44,uk_female_40-44,uk_unknown_40-44,ai_male_45-49,ai_female_45-49,ai_unknown_45-49,ap_male_45-49,ap_female_45-49,ap_unknown_45-49,bh_male_45-49,bh_female_45-49,bh_unknown_45-49,hp_male_45-49,hp_female_45-49,hp_unknown_45-49,wh_male_45-49,wh_female_45-49,wh_unknown_45-49,ot_male_45-49,ot_female_45-49,ot_unknown_45-49,uk_male_45-49,uk_female_45-49,uk_unknown_45-49,ai_male_50-54,ai_female_50-54,ai_unknown_50-54,ap_male_50-54,ap_female_50-54,ap_unknown_50-54,bh_male_50-54,bh_female_50-54,bh_unknown_50-54,hp_male_50-54,hp_female_50-54,hp_unknown_50-54,wh_male_50-54,wh_female_50-54,wh_unknown_50-54,ot_male_50-54,ot_female_50-54,ot_unknown_50-54,uk_male_50-54,uk_female_50-54,uk_unknown_50-54,ai_male_55-59,ai_female_55-59,ai_unknown_55-59,ap_male_55-59,ap_female_55-59,ap_unknown_55-59,bh_male_55-59,bh_female_55-59,bh_unknown_55-59,hp_male_55-59,hp_female_55-59,hp_unknown_55-59,wh_male_55-59,wh_female_55-59,wh_unknown_55-59,ot_male_55-59,ot_female_55-59,ot_unknown_55-59,uk_male_55-59,uk_female_55-59,uk_unknown_55-59,ai_male_60-64,ai_female_60-64,ai_unknown_60-64,ap_male_60-64,ap_female_60-64,ap_unknown_60-64,bh_male_60-64,bh_female_60-64,bh_unknown_60-64,hp_male_60-64,hp_female_60-64,hp_unknown_60-64,wh_male_60-64,wh_female_60-64,wh_unknown_60-64,ot_male_60-64,ot_female_60-64,ot_unknown_60-64,uk_male_60-64,uk_female_60-64,uk_unknown_60-64,ai_male_65+,ai_female_65+,ai_unknown_65+,ap_male_65+,ap_female_65+,ap_unknown_65+,bh_male_65+,bh_female_65+,bh_unknown_65+,hp_male_65+,hp_female_65+,hp_unknown_65+,wh_male_65+,wh_female_65+,wh_unknown_65+,ot_male_65+,ot_female_65+,ot_unknown_65+,uk_male_65+,uk_female_65+,uk_unknown_65+
Appling County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,5,0,120,110,0,43,43,0,436,429,1,5,19,0,95,60,2,0,0,0,4,1,0,81,89,0,14,18,0,282,298,1,3,7,0,38,30,0,0,0,0,4,3,0,71,77,0,8,14,0,267,289,1,2,6,0,24,21,1,2,1,0,3,1,0,59,102,0,6,15,0,272,332,0,5,4,0,18,25,0,0,0,0,0,2,0,65,88,0,3,6,0,276,342,0,2,3,0,25,31,0,0,0,0,3,3,0,66,104,0,10,5,0,310,343,0,5,3,0,20,18,0,2,1,0,2,5,0,84,94,0,11,5,0,297,352,1,2,1,0,32,29,0,4,1,0,3,3,0,86,100,0,2,9,0,384,373,0,1,2,0,43,34,0,0,0,0,1,4,0,87,78,0,1,3,0,363,437,0,1,1,0,27,36,0,0,1,0,3,1,0,167,273,0,10,4,0,1026,1216,0,2,3,0,67,59,0
Atkinson County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,45,58,0,80,83,0,157,175,1,5,9,0,49,49,1,0,0,0,0,1,0,37,41,0,25,50,1,116,131,0,6,1,0,15,17,1,0,0,0,0,0,0,41,40,0,15,17,0,130,124,0,1,0,0,5,14,0,0,2,0,1,0,0,28,33,0,4,14,0,106,142,0,1,1,0,9,6,0,1,1,0,0,0,0,18,45,0,2,7,1,115,130,0,1,0,0,7,8,0,0,0,0,0,0,0,27,37,0,11,5,0,129,137,0,0,2,0,7,2,0,0,0,0,0,0,0,24,37,1,7,13,0,145,148,0,0,0,0,4,6,1,0,1,0,0,1,0,43,54,0,7,3,0,136,154,0,2,1,0,4,6,0,0,1,0,0,0,0,43,58,0,3,5,0,127,140,0,0,2,0,5,6,0,1,1,0,1,1,0,89,106,0,7,4,0,353,436,0,0,1,0,14,17,0
Bacon County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40,53,0,21,17,0,260,309,3,9,4,0,46,31,1,1,0,0,0,2,0,34,50,0,11,10,0,175,193,0,3,4,0,21,14,0,0,1,0,0,0,0,29,61,1,5,6,0,171,195,0,4,2,0,14,17,0,0,0,0,0,2,0,32,49,0,3,3,0,178,197,0,0,3,0,10,14,0,0,1,0,1,1,0,31,51,0,2,5,0,223,243,0,2,2,0,16,10,0,1,0,0,1,2,0,28,33,0,2,2,0,243,259,0,0,2,0,24,9,0,0,0,0,0,2,0,23,42,0,3,2,0,222,228,0,0,1,0,17,15,0,0,0,0,1,0,0,15,50,0,2,2,0,190,221,0,0,0,0,16,9,0,0,1,0,3,0,0,28,45,0,4,1,0,204,229,1,0,1,0,25,15,0,0,0,0,1,1,0,62,91,0,2,1,0,616,764,0,0,1,0,27,38,0
Baker County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,31,55,0,5,4,0,56,47,0,3,1,0,15,10,0,0,0,0,0,0,0,30,33,0,1,1,0,51,53,0,0,1,0,5,5,0,0,1,0,0,4,0,33,39,0,0,1,0,38,31,0,0,1,0,1,2,0,0,0,0,0,0,0,27,36,0,1,2,0,32,48,0,0,1,0,2,2,0,1,0,0,0,0,0,33,39,0,0,0,0,28,36,0,1,0,0,2,0,0,0,0,0,3,1,0,30,29,0,0,3,0,44,41,0,0,0,0,5,5,0,0,0,0,0,1,0,36,37,0,1,0,0,47,50,0,1,0,0,7,3,0,0,0,0,1,0,0,44,47,0,0,0,0,58,61,0,0,1,0,4,3,0,0,0,0,0,1,0,47,52,0,0,1,0,53,55,0,0,0,0,2,4,0,0,0,0,0,0,0,97,147,0,0,0,0,165,188,0,0,1,0,15,17,0
Baldwin County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,14,15,0,625,709,4,27,29,0,715,842,6,26,33,0,141,133,0,5,2,0,6,13,0,461,582,0,13,14,0,532,552,5,6,17,0,75,65,0,3,1,0,13,9,0,442,590,1,10,14,0,452,503,1,10,14,0,61,46,0,1,2,0,10,13,0,370,559,0,4,9,0,436,479,0,9,6,0,50,31,0,1,0,0,4,12,0,385,559,0,7,10,0,404,420,0,11,12,0,47,38,1,0,3,0,8,13,0,370,520,0,5,6,0,435,440,0,4,5,0,42,43,1,2,1,1,10,13,0,374,546,0,5,4,0,473,537,0,6,10,0,67,47,1,1,1,0,8,6,0,418,589,0,8,12,0,591,656,0,5,6,0,76,59,0,2,1,0,8,14,0,398,520,0,7,8,1,620,678,0,1,3,0,70,61,0,0,2,0,25,29,0,710,1148,0,18,18,0,1789,2193,2,7,8,0,124,119,0
Banks County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,8,6,0,17,8,0,46,50,0,714,650,4,12,14,0,79,47,1,5,0,0,9,7,0,17,14,1,18,21,0,447,408,1,7,9,0,58,25,0,0,0,0,3,4,0,13,12,0,16,18,0,396,441,2,8,3,0,52,30,0,3,2,0,3,3,0,14,5,0,9,11,0,412,424,0,2,6,0,34,38,0,1,0,0,5,6,0,9,15,0,9,11,0,421,479,0,5,4,0,32,32,0,1,1,0,4,4,0,12,9,0,11,4,0,465,489,0,3,1,0,45,33,0,1,1,0,3,1,0,10,16,1,15,9,0,474,483,0,3,3,0,45,37,2,1,0,0,5,6,0,16,11,0,13,4,0,521,537,0,2,2,0,36,29,0,1,1,0,1,11,1,10,9,0,6,4,0,465,455,2,9,1,0,38,41,0,0,2,0,14,15,0,30,19,0,8,9,0,1193,1326,1,3,4,0,85,72,0
Barrow County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,146,148,0,393,447,2,388,438,2,2046,2007,18,89,114,0,364,293,5,3,8,0,105,116,0,290,324,1,236,251,0,1696,1832,9,39,71,0,290,268,4,9,10,0,91,103,1,262,294,0,189,170,0,1818,1913,2,53,55,0,223,214,2,4,6,0,76,82,0,275,358,0,115,137,0,1739,1824,7,34,38,0,238,194,0,4,4,0,49,64,0,286,341,0,122,136,0,1628,1678,4,31,38,1,199,169,0,4,6,0,41,59,0,303,369,0,94,116,1,1589,1664,3,29,30,0,184,188,1,8,3,0,55,44,0,268,290,0,104,122,3,1631,1738,3,26,27,0,199,168,5,7,8,0,48,36,0,259,308,3,87,81,2,1633,1792,1,20,15,0,201,190,4,2,5,0,44,42,3,174,260,1,64,65,0,1429,1683,1,12,19,0,189,143,1,4,7,0,72,74,1,330,475,1,93,125,1,3410,4289,6,27,31,0,385,404,1
Bartow County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,0,37,43,1,498,467,2,335,377,0,3104,3140,27,115,131,1,579,437,6,12,7,0,28,20,0,406,388,1,184,187,0,2378,2557,6,74,74,0,404,364,1,9,11,0,24,17,0,352,391,2,124,129,0,2378,2597,1,51,41,0,323,297,4,4,6,0,25,31,0,326,376,0,106,97,0,2094,2261,2,42,42,1,262,257,0,6,5,0,23,21,0,276,346,0,75,111,0,2014,2233,3,34,32,0,252,259,0,9,5,0,23,18,0,281,376,0,84,86,0,2367,2393,6,20,36,0,279,264,3,9,8,0,26,24,0,298,388,1,76,62,0,2522,2709,6,24,22,0,294,262,2,6,7,0,20,23,0,265,341,0,69,75,0,2591,2741,4,25,22,0,321,238,0,6,6,0,9,23,0,206,265,0,53,35,0,2395,2539,3,21,17,0,267,213,1,12,8,0,30,31,1,337,526,1,73,71,0,5355,6229,10,21,17,0,531,533,6
Ben Hill County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,5,2,0,208,223,1,30,46,0,286,303,1,8,11,0,37,38,1,2,0,0,2,1,0,131,186,1,6,10,0,193,185,0,1,10,0,21,15,2,0,0,0,3,5,0,126,178,0,1,11,0,180,205,0,4,3,0,18,16,1,0,0,0,1,2,0,90,167,0,4,8,0,196,225,1,2,6,0,11,19,0,1,2,0,2,3,0,98,171,0,5,6,0,184,214,1,0,3,0,13,9,0,0,2,0,3,2,0,84,141,0,6,5,0,206,212,0,6,0,0,16,17,0,1,1,0,0,2,0,108,149,2,6,4,0,237,266,0,1,1,0,16,11,0,1,0,0,3,2,0,119,172,0,4,5,0,226,269,0,2,2,0,15,22,0,0,0,0,5,3,0,125,189,0,1,0,0,244,276,0,3,3,0,17,12,0,0,0,0,5,5,0,265,412,0,8,5,0,778,959,2,1,0,0,24,39,0
Berrien County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,5,2,0,66,62,1,30,24,0,475,457,4,10,14,0,33,18,2,6,0,0,1,3,0,61,56,0,9,14,0,390,364,0,8,4,0,21,22,0,1,1,0,3,1,0,49,57,0,7,11,0,359,391,0,3,3,0,19,22,0,2,0,0,2,1,0,41,51,0,12,10,0,347,382,0,4,4,0,23,21,1,1,2,0,1,3,0,30,52,0,6,10,0,327,370,2,4,4,0,14,20,0,0,4,0,0,0,0,42,52,0,4,7,0,367,377,1,4,1,0,26,14,1,2,2,0,0,3,0,36,53,0,6,5,0,360,430,1,3,0,1,28,23,0,2,3,0,3,3,0,47,57,0,1,4,0,437,448,2,8,1,0,23,19,0,1,1,0,0,1,0,47,50,0,7,3,0,368,409,0,0,3,0,20,25,1,2,2,0,3,3,0,101,134,0,6,4,0,1063,1239,0,0,1,0,31,41,0
