index,County,Precinct,Registered Voters,Gene Hair (I)_Election Day Votes,Gene Hair (I)_Advanced Voting Votes,Gene Hair (I)_Absentee by Mail Votes,Gene Hair (I)_Provisional Votes,Gene Hair (I)_Choice Total,Total,
0,Columbia,Kiokee Baptist Church,2541,451,1176,229,0,1856,1856,
1,Columbia,Lewis Methodist Church,3737,492,1404,470,2,2368,2368,
2,Columbia,Woodlawn Baptist Church,1290,179,532,168,0,879,879,
3,Columbia,Patriots Park,4046,442,1701,378,0,2521,2521,
4,Columbia,New Life Church,4438,495,1538,377,2,2412,2412,
5,Columbia,Harlem Branch Library,2642,395,956,245,2,1598,1598,
6,Columbia,Harlem Senior Center,1819,381,583,171,0,1135,1135,
7,Columbia,Second Mt Moriah Baptist Church1027,178,424,94,1,697,697,,
8,Columbia,Bessie Thomas Center,799,116,380,69,2,567,567,
9,Columbia,Philadelphia Church,2355,279,868,216,1,1364,1364,
10,Columbia,Liberty Park-Grovetown,3410,424,1010,308,3,1745,1745,
11,Columbia,Grovetown Methodist Church,2736,363,643,242,7,1255,1255,
12,Columbia,G A Apostolic Church,1701,287,507,205,1,1000,1000,
13,Columbia,Grovetown Public Safety Station 23696,382,1143,374,1,1900,1900,,
14,Columbia,Grove First Baptist Church,2954,274,924,279,1,1478,1478,
15,Columbia,Eubank-Blanchard Center,1576,408,535,106,1,1050,1050,
16,Columbia,Second Mt Carmel Baptist Church731,162,174,62,0,398,398,,
17,Columbia,Damascus Baptist Church,1023,363,313,81,1,758,758,
18,Columbia,Col Cty Bd of Edu,2143,276,831,244,3,1354,1354,
19,Columbia,Greenbrier High,3369,564,1413,354,1,2332,2332,
20,Columbia,Parkway Baptist Church,4596,677,1911,453,2,3043,3043,
21,Columbia,Riverview Church,1320,181,544,162,0,887,887,
22,Columbia,Grace Baptist Church,3558,470,1369,341,0,2180,2180,
23,Columbia,Christ Sanctified,2521,405,901,263,1,1570,1570,
24,Columbia,Blanchard Park,2026,306,606,230,2,1144,1144,
25,Columbia,Belair Baptist Church,2440,420,768,271,2,1461,1461,
26,Columbia,Marvin Methodist,1937,409,494,230,0,1133,1133,
27,Columbia,Westside Baptist Church,1516,330,464,241,0,1035,1035,
28,Columbia,Trinity Baptist Church,2836,515,902,350,3,1770,1770,
29,Columbia,Abilene Baptist,2046,367,602,266,0,1235,1235,
30,Columbia,Augusta Christian,2179,391,661,297,1,1350,1350,
31,Columbia,Savannah Rapids Pavilion,1549,152,664,360,0,1176,1176,
32,Columbia,Gospel Water Branch,2096,301,788,284,2,1375,1375,
33,Columbia,Genesis Church,1830,291,645,283,0,1219,1219,
34,Columbia,Stevens Creek Church,2760,423,1095,414,1,1933,1933,
35,Columbia,Mtz Col Fire Hdqtr,1291,269,306,122,1,698,698,
36,Columbia,Lakeside Middle,1923,337,623,178,1,1139,1139,
37,Columbia,Martinez Baptist,1962,411,463,186,0,1060,1060,
38,Columbia,Gold Cross EMS,1889,271,549,354,4,1178,1178,
39,Columbia,Church of Our Savior,2310,410,616,286,3,1315,1315,
40,Columbia,West Acres Baptist,2424,352,912,291,1,1556,1556,
41,Columbia,Journey Comm Church,1268,169,559,177,3,908,908,
42,Columbia,Wesley Methodist,2434,374,966,278,3,1621,1621,
43,Columbia,Col Cty Main Library,2106,224,838,216,1,1279,1279,
44,Columbia,Christ Church Presbyterian,2081,323,844,236,2,1405,1405,
45,Columbia,Blue Ridge Elementary,2301,363,770,237,1,1371,1371,
46,Columbia,Christ The King Luth Church,2148,219,857,343,1,1420,1420,
