index,County,Precinct,Registered Voters,Natalie Paine (I) (Rep)_Election Day Votes,Natalie Paine (I) (Rep)_Advanced Voting Votes,Natalie Paine (I) (Rep)_Absentee by Mail Votes,Natalie Paine (I) (Rep)_Provisional Votes,Natalie Paine (I) (Rep)_Choice Total,Jared T. Williams (Dem)_Election Day Votes,Jared T. Williams (Dem)_Advanced Voting Votes,Jared T. Williams (Dem)_Absentee by Mail Votes,Jared T. Williams (Dem)_Provisional Votes,Jared T. Williams (Dem)_Choice Total,Total,
0,Columbia,Kiokee Baptist Church,2541,452,1139,197,0,1788,45,136,96,0,277,2065,
1,Columbia,Lewis Methodist Church,3737,439,1121,295,1,1856,117,534,346,1,998,2854,
2,Columbia,Woodlawn Baptist Church,1290,166,448,120,0,734,36,146,80,0,262,996,
3,Columbia,Patriots Park,4046,367,1381,208,0,1956,126,639,315,0,1080,3036,
4,Columbia,New Life Church,4438,352,972,196,1,1521,229,989,391,2,1611,3132,
5,Columbia,Harlem Branch Library,2642,364,872,192,2,1430,76,233,117,0,426,1856,
6,Columbia,Harlem Senior Center,1819,314,473,79,0,866,111,221,168,0,500,1366,
7,Columbia,Second Mt Moriah Baptist Church1027,168,404,76,1,649,21,73,43,0,137,786,,
8,Columbia,Bessie Thomas Center,799,109,368,64,2,543,13,42,17,0,72,615,
9,Columbia,Philadelphia Church,2355,221,642,131,1,995,113,404,180,0,697,1692,
10,Columbia,Liberty Park-Grovetown,3410,297,663,138,2,1100,209,595,316,2,1122,2222,
11,Columbia,Grovetown Methodist Church,2736,203,319,122,1,645,245,503,246,6,1000,1645,
12,Columbia,G A Apostolic Church,1701,246,376,130,0,752,79,239,132,1,451,1203,
13,Columbia,Grovetown Public Safety Station 23696,259,687,160,1,1107,210,759,378,0,1347,2454,,
14,Columbia,Grove First Baptist Church,2954,187,550,91,1,829,152,649,308,0,1109,1938,
15,Columbia,Eubank-Blanchard Center,1576,385,495,79,1,960,76,102,75,0,253,1213,
16,Columbia,Second Mt Carmel Baptist Church731,99,138,25,0,262,126,74,83,0,283,545,,
17,Columbia,Damascus Baptist Church,1023,352,294,73,1,720,36,41,25,0,102,822,
18,Columbia,Col Cty Bd of Edu,2143,230,716,161,3,1110,91,272,157,0,520,1630,
19,Columbia,Greenbrier High,3369,508,1232,245,1,1986,89,346,245,0,680,2666,
20,Columbia,Parkway Baptist Church,4596,605,1528,283,2,2418,150,711,327,1,1189,3607,
21,Columbia,Riverview Church,1320,159,466,108,0,733,50,162,122,0,334,1067,
22,Columbia,Grace Baptist Church,3558,425,1022,187,0,1634,125,617,328,0,1070,2704,
23,Columbia,Christ Sanctified,2521,347,763,189,1,1300,108,266,166,0,540,1840,
24,Columbia,Blanchard Park,2026,242,430,157,2,831,111,281,166,0,558,1389,
25,Columbia,Belair Baptist Church,2440,350,608,183,1,1142,126,316,198,1,641,1783,
26,Columbia,Marvin Methodist,1937,339,396,153,0,888,122,179,172,0,473,1361,
27,Columbia,Westside Baptist Church,1516,286,417,194,0,897,71,113,124,0,308,1205,
28,Columbia,Trinity Baptist Church,2836,459,789,278,2,1528,114,235,166,1,516,2044,
29,Columbia,Abilene Baptist,2046,312,506,180,0,998,91,188,151,0,430,1428,
30,Columbia,Augusta Christian,2179,321,543,197,1,1062,126,225,183,0,534,1596,
31,Columbia,Savannah Rapids Pavilion,1549,141,629,285,0,1055,30,120,158,0,308,1363,
32,Columbia,Gospel Water Branch,2096,267,676,169,2,1114,80,250,206,1,537,1651,
33,Columbia,Genesis Church,1830,256,559,195,0,1010,71,174,159,1,405,1415,
34,Columbia,Stevens Creek Church,2760,402,974,305,1,1682,74,284,244,0,602,2284,
35,Columbia,Mtz Col Fire Hdqtr,1291,205,239,80,0,524,107,114,83,1,305,829,
36,Columbia,Lakeside Middle,1923,269,516,108,0,893,103,224,133,1,461,1354,
37,Columbia,Martinez Baptist,1962,340,348,123,0,811,142,215,136,0,493,1304,
38,Columbia,Gold Cross EMS,1889,239,483,318,3,1043,66,144,113,1,324,1367,
39,Columbia,Church of Our Savior,2310,323,494,207,2,1026,151,243,214,2,610,1636,
40,Columbia,West Acres Baptist,2424,308,763,180,1,1252,92,257,199,0,548,1800,
41,Columbia,Journey Comm Church,1268,167,516,158,3,844,34,103,77,0,214,1058,
42,Columbia,Wesley Methodist,2434,334,833,209,3,1379,90,278,147,1,516,1895,
43,Columbia,Col Cty Main Library,2106,204,699,158,0,1061,56,268,160,1,485,1546,
44,Columbia,Christ Church Presbyterian,2081,293,766,159,1,1219,61,219,147,1,428,1647,
45,Columbia,Blue Ridge Elementary,2301,284,629,162,0,1075,133,272,157,1,563,1638,
46,Columbia,Christ The King Luth Church,2148,202,777,261,1,1241,48,237,197,0,482,1723,
