index,County,Precinct,Registered Voters,Jody Hice (I) (Rep)_Election Day Votes,Jody Hice (I) (Rep)_Advanced Voting Votes,Jody Hice (I) (Rep)_Absentee by Mail Votes,Jody Hice (I) (Rep)_Provisional Votes,Jody Hice (I) (Rep)_Choice Total,Tabitha Johnson-Green (Dem)_Election Day Votes,Tabitha Johnson-Green (Dem)_Advanced Voting Votes,Tabitha Johnson-Green (Dem)_Absentee by Mail Votes,Tabitha Johnson-Green (Dem)_Provisional Votes,Tabitha Johnson-Green (Dem)_Choice Total,Total,
0,Columbia,Kiokee Baptist Church,2541,172,342,71,0,585,10,31,16,0,57,642,
1,Columbia,Harlem Branch Library,2642,126,348,67,2,543,25,67,26,0,118,661,
2,Columbia,Harlem Senior Center,1819,205,247,43,0,495,62,117,87,0,266,761,
3,Columbia,Second Mt Moriah Baptist Church1027,162,402,72,1,637,22,69,48,0,139,776,,
4,Columbia,Bessie Thomas Center,799,111,366,59,2,538,7,44,23,0,74,612,
5,Columbia,Eubank-Blanchard Center,1576,378,496,76,1,951,72,99,80,0,251,1202,
6,Columbia,Second Mt Carmel Baptist Church731,107,139,24,0,270,117,73,80,0,270,540,,
7,Columbia,Damascus Baptist Church,1023,357,304,74,1,736,28,31,23,0,82,818,
8,Columbia,Greenbrier High,3369,510,1222,236,3,1971,84,350,260,1,695,2666,
9,Columbia,Grace Baptist Church,3558,422,1012,179,0,1613,121,623,337,0,1081,2694,
