index,County,Precinct,Registered Voters,Mark Newton (I) (Rep)_Election Day Votes,Mark Newton (I) (Rep)_Advanced Voting Votes,Mark Newton (I) (Rep)_Absentee by Mail Votes,Mark Newton (I) (Rep)_Provisional Votes,Mark Newton (I) (Rep)_Choice Total,Total,
0,Columbia,Blanchard Park,2026,304,581,207,2,1094,1094,
1,Columbia,Marvin Methodist,1937,411,487,213,0,1111,1111,
2,Columbia,Westside Baptist Church,1516,335,472,235,0,1042,1042,
3,Columbia,Trinity Baptist Church,2836,518,914,333,3,1768,1768,
4,Columbia,Abilene Baptist,2046,374,607,236,0,1217,1217,
5,Columbia,Augusta Christian,2179,396,652,264,1,1313,1313,
6,Columbia,Genesis Church,1830,286,649,254,0,1189,1189,
7,Columbia,Stevens Creek Church,2760,436,1101,395,1,1933,1933,
8,Columbia,Mtz Col Fire Hdqtr,1291,264,297,110,1,672,672,
9,Columbia,Martinez Baptist,1962,418,452,175,0,1045,1045,
10,Columbia,Church of Our Savior,2310,405,618,269,3,1295,1295,
