index,County,Precinct,Registered Voters,Clay Whittle (I) (Rep)_Election Day Votes,Clay Whittle (I) (Rep)_Advanced Voting Votes,Clay Whittle (I) (Rep)_Absentee by Mail Votes,Clay Whittle (I) (Rep)_Provisional Votes,Clay Whittle (I) (Rep)_Choice Total,Total,
0,Columbia,Kiokee Baptist Church,2541,474,1210,228,0,1912,1912,
1,Columbia,Lewis Methodist Church,3737,511,1406,444,2,2363,2363,
2,Columbia,Woodlawn Baptist Church,1290,185,536,160,0,881,881,
3,Columbia,Patriots Park,4046,447,1707,345,0,2499,2499,
4,Columbia,New Life Church,4438,495,1491,344,2,2332,2332,
5,Columbia,Harlem Branch Library,2642,418,1001,249,2,1670,1670,
6,Columbia,Harlem Senior Center,1819,382,597,166,0,1145,1145,
7,Columbia,Second Mt Moriah Baptist Church1027,183,443,93,1,720,720,,
8,Columbia,Bessie Thomas Center,799,119,380,75,2,576,576,
9,Columbia,Philadelphia Church,2355,295,857,210,1,1363,1363,
10,Columbia,Liberty Park-Grovetown,3410,424,999,279,2,1704,1704,
11,Columbia,Grovetown Methodist Church,2736,354,610,220,6,1190,1190,
12,Columbia,G A Apostolic Church,1701,296,523,188,1,1008,1008,
13,Columbia,Grovetown Public Safety Station 23696,376,1110,338,1,1825,1825,,
14,Columbia,Grove First Baptist Church,2954,272,888,239,1,1400,1400,
15,Columbia,Eubank-Blanchard Center,1576,431,556,103,1,1091,1091,
16,Columbia,Second Mt Carmel Baptist Church731,161,178,56,0,395,395,,
17,Columbia,Damascus Baptist Church,1023,378,319,84,1,782,782,
18,Columbia,Col Cty Bd of Edu,2143,288,849,239,3,1379,1379,
19,Columbia,Greenbrier High,3369,578,1439,351,1,2369,2369,
20,Columbia,Parkway Baptist Church,4596,691,1887,436,3,3017,3017,
21,Columbia,Riverview Church,1320,190,547,160,0,897,897,
22,Columbia,Grace Baptist Church,3558,487,1359,327,0,2173,2173,
23,Columbia,Christ Sanctified,2521,418,912,256,1,1587,1587,
24,Columbia,Blanchard Park,2026,306,579,213,2,1100,1100,
25,Columbia,Belair Baptist Church,2440,435,768,264,2,1469,1469,
26,Columbia,Marvin Methodist,1937,416,498,216,0,1130,1130,
27,Columbia,Westside Baptist Church,1516,338,476,252,0,1066,1066,
28,Columbia,Trinity Baptist Church,2836,519,930,348,3,1800,1800,
29,Columbia,Abilene Baptist,2046,370,618,246,0,1234,1234,
30,Columbia,Augusta Christian,2179,405,658,284,1,1348,1348,
31,Columbia,Savannah Rapids Pavilion,1549,162,696,367,0,1225,1225,
32,Columbia,Gospel Water Branch,2096,315,802,279,2,1398,1398,
33,Columbia,Genesis Church,1830,292,655,266,0,1213,1213,
34,Columbia,Stevens Creek Church,2760,441,1116,403,1,1961,1961,
35,Columbia,Mtz Col Fire Hdqtr,1291,269,306,121,0,696,696,
36,Columbia,Lakeside Middle,1923,334,635,170,1,1140,1140,
37,Columbia,Martinez Baptist,1962,421,459,188,0,1068,1068,
38,Columbia,Gold Cross EMS,1889,273,564,350,4,1191,1191,
39,Columbia,Church of Our Savior,2310,411,630,280,4,1325,1325,
40,Columbia,West Acres Baptist,2424,364,916,290,1,1571,1571,
41,Columbia,Journey Comm Church,1268,185,579,185,3,952,952,
42,Columbia,Wesley Methodist,2434,393,993,275,3,1664,1664,
43,Columbia,Col Cty Main Library,2106,234,850,216,1,1301,1301,
44,Columbia,Christ Church Presbyterian,2081,337,861,224,2,1424,1424,
45,Columbia,Blue Ridge Elementary,2301,370,781,226,1,1378,1378,
46,Columbia,Christ The King Luth Church,2148,227,889,328,1,1445,1445,
