index,County,Precinct,Registered Voters,Gary Richardson (I) (Rep)_Election Day Votes,Gary Richardson (I) (Rep)_Advanced Voting Votes,Gary Richardson (I) (Rep)_Absentee by Mail Votes,Gary Richardson (I) (Rep)_Provisional Votes,Gary Richardson (I) (Rep)_Choice Total,Total,
0,Columbia,Lewis Methodist Church,3737,503,1407,433,2,2345,2345,
1,Columbia,Patriots Park,4046,447,1699,341,0,2487,2487,
2,Columbia,New Life Church,4438,493,1496,349,1,2339,2339,
3,Columbia,Second Mt Carmel Baptist Church731,158,175,56,0,389,389,,
4,Columbia,Damascus Baptist Church,1023,373,318,83,1,775,775,
5,Columbia,Col Cty Bd of Edu,2143,281,841,231,3,1356,1356,
6,Columbia,Greenbrier High,3369,571,1420,346,1,2338,2338,
7,Columbia,Parkway Baptist Church,4596,693,1877,426,3,2999,2999,
8,Columbia,Riverview Church,1320,188,550,156,0,894,894,
9,Columbia,Grace Baptist Church,3558,483,1357,314,0,2154,2154,
10,Columbia,Christ Sanctified,2521,416,901,255,0,1572,1572,
11,Columbia,West Acres Baptist,2424,360,902,282,1,1545,1545,
