index,County,Precinct,Registered Voters,Alice Wheatley Padgett (I) (Rep)_Election Day Votes,Alice Wheatley Padgett (I) (Rep)_Advanced Voting Votes,Alice Wheatley Padgett (I) (Rep)_Absentee by Mail Votes,Alice Wheatley Padgett (I) (Rep)_Provisional Votes,Alice Wheatley Padgett (I) (Rep)_Choice Total,Total,
0,Columbia,Kiokee Baptist Church,2541,472,1191,228,0,1891,1891,
1,Columbia,Lewis Methodist Church,3737,509,1406,430,2,2347,2347,
2,Columbia,Woodlawn Baptist Church,1290,187,535,158,0,880,880,
3,Columbia,Patriots Park,4046,445,1696,344,0,2485,2485,
4,Columbia,New Life Church,4438,487,1479,348,2,2316,2316,
5,Columbia,Harlem Branch Library,2642,410,988,244,2,1644,1644,
6,Columbia,Harlem Senior Center,1819,375,586,157,0,1118,1118,
7,Columbia,Second Mt Moriah Baptist Church1027,177,442,92,1,712,712,,
8,Columbia,Bessie Thomas Center,799,117,380,70,2,569,569,
9,Columbia,Philadelphia Church,2355,292,853,204,1,1350,1350,
10,Columbia,Liberty Park-Grovetown,3410,421,994,274,2,1691,1691,
11,Columbia,Grovetown Methodist Church,2736,356,598,222,6,1182,1182,
12,Columbia,G A Apostolic Church,1701,284,510,190,1,985,985,
13,Columbia,Grovetown Public Safety Station 23696,377,1101,335,1,1814,1814,,
14,Columbia,Grove First Baptist Church,2954,270,875,237,1,1383,1383,
15,Columbia,Eubank-Blanchard Center,1576,420,546,99,1,1066,1066,
16,Columbia,Second Mt Carmel Baptist Church731,151,174,56,0,381,381,,
17,Columbia,Damascus Baptist Church,1023,376,316,85,1,778,778,
18,Columbia,Col Cty Bd of Edu,2143,278,843,235,3,1359,1359,
19,Columbia,Greenbrier High,3369,575,1421,337,1,2334,2334,
20,Columbia,Parkway Baptist Church,4596,686,1881,430,3,3000,3000,
21,Columbia,Riverview Church,1320,188,552,159,0,899,899,
22,Columbia,Grace Baptist Church,3558,485,1346,320,0,2151,2151,
23,Columbia,Christ Sanctified,2521,413,899,253,1,1566,1566,
24,Columbia,Blanchard Park,2026,305,580,219,2,1106,1106,
25,Columbia,Belair Baptist Church,2440,433,754,260,2,1449,1449,
26,Columbia,Marvin Methodist,1937,410,492,215,0,1117,1117,
27,Columbia,Westside Baptist Church,1516,332,472,244,0,1048,1048,
28,Columbia,Trinity Baptist Church,2836,522,913,344,3,1782,1782,
29,Columbia,Abilene Baptist,2046,374,610,240,0,1224,1224,
30,Columbia,Augusta Christian,2179,403,649,285,1,1338,1338,
31,Columbia,Savannah Rapids Pavilion,1549,157,688,354,0,1199,1199,
32,Columbia,Gospel Water Branch,2096,305,793,271,2,1371,1371,
33,Columbia,Genesis Church,1830,292,648,268,0,1208,1208,
34,Columbia,Stevens Creek Church,2760,437,1108,399,1,1945,1945,
35,Columbia,Mtz Col Fire Hdqtr,1291,265,299,116,1,681,681,
36,Columbia,Lakeside Middle,1923,334,630,169,1,1134,1134,
37,Columbia,Martinez Baptist,1962,421,453,183,0,1057,1057,
38,Columbia,Gold Cross EMS,1889,271,559,345,4,1179,1179,
39,Columbia,Church of Our Savior,2310,406,617,277,4,1304,1304,
40,Columbia,West Acres Baptist,2424,368,897,285,1,1551,1551,
41,Columbia,Journey Comm Church,1268,180,571,180,3,934,934,
42,Columbia,Wesley Methodist,2434,391,978,269,3,1641,1641,
43,Columbia,Col Cty Main Library,2106,234,842,211,1,1288,1288,
44,Columbia,Christ Church Presbyterian,2081,334,859,217,2,1412,1412,
45,Columbia,Blue Ridge Elementary,2301,367,773,225,1,1366,1366,
46,Columbia,Christ The King Luth Church,2148,228,870,325,1,1424,1424,
