index,County,Precinct,Registered Voters,Barry Fleming (I) (Rep)_Election Day Votes,Barry Fleming (I) (Rep)_Advanced Voting Votes,Barry Fleming (I) (Rep)_Absentee by Mail Votes,Barry Fleming (I) (Rep)_Provisional Votes,Barry Fleming (I) (Rep)_Choice Total,Total,
0,Columbia,Kiokee Baptist Church,2541,472,1191,220,0,1883,1883,
1,Columbia,New Life Church,4438,487,1482,344,1,2314,2314,
2,Columbia,Harlem Branch Library,2642,418,992,241,2,1653,1653,
3,Columbia,Harlem Senior Center,1819,378,590,160,0,1128,1128,
4,Columbia,Second Mt Moriah Baptist Church1027,176,431,89,1,697,697,,
5,Columbia,Bessie Thomas Center,799,120,383,71,2,576,576,
6,Columbia,Philadelphia Church,2355,292,850,201,1,1344,1344,
7,Columbia,Liberty Park-Grovetown,3410,424,994,265,2,1685,1685,
8,Columbia,Grovetown Methodist Church,2736,353,593,210,5,1161,1161,
9,Columbia,G A Apostolic Church,1701,290,511,176,0,977,977,
10,Columbia,Grovetown Public Safety Station 23696,379,1091,320,2,1792,1792,,
11,Columbia,Grove First Baptist Church,2954,272,864,223,1,1360,1360,
12,Columbia,Eubank-Blanchard Center,1576,424,546,96,1,1067,1067,
13,Columbia,Second Mt Carmel Baptist Church731,154,175,57,0,386,386,,
14,Columbia,Belair Baptist Church,2440,434,760,257,1,1452,1452,
