index,County,Precinct,Registered Voters,Tabatha Kirkland Wooten (I)_Election Day Votes,Tabatha Kirkland Wooten (I)_Advanced Voting Votes,Tabatha Kirkland Wooten (I)_Absentee by Mail Votes,Tabatha Kirkland Wooten (I)_Provisional Votes,Tabatha Kirkland Wooten (I)_Choice Total,Total,
0,Jeff Davis,Hazlehurst,1406,171,296,102,0,569,569,
1,Jeff Davis,Altamaha 1,703,89,319,45,0,453,453,
2,Jeff Davis,Altamaha 2,1249,308,448,78,0,834,834,
3,Jeff Davis,Blackburn 1,870,111,234,72,0,417,417,
4,Jeff Davis,Blackburn 2,722,163,242,56,0,461,461,
5,Jeff Davis,Whitehead 1,988,114,363,88,0,565,565,
6,Jeff Davis,Whitehead 2,642,180,196,43,0,419,419,
7,Jeff Davis,Ocmulgee 1,1399,193,539,112,0,844,844,
8,Jeff Davis,Ocmulgee 2,499,101,135,46,0,282,282,
