index,County,Precinct,Registered Voters,Chris A. Davenport (I) (Rep)_Election Day Votes,Chris A. Davenport (I) (Rep)_Advanced Voting Votes,Chris A. Davenport (I) (Rep)_Absentee by Mail Votes,Chris A. Davenport (I) (Rep)_Provisional Votes,Chris A. Davenport (I) (Rep)_Choice Total,Total,
0,Jeff Davis,Hazlehurst,1406,181,333,108,0,622,622,
1,Jeff Davis,Altamaha 1,703,96,320,47,0,463,463,
2,Jeff Davis,Altamaha 2,1249,335,478,84,0,897,897,
3,Jeff Davis,Blackburn 1,870,109,259,72,0,440,440,
4,Jeff Davis,Blackburn 2,722,171,251,60,0,482,482,
5,Jeff Davis,Whitehead 1,988,120,374,93,0,587,587,
6,Jeff Davis,Whitehead 2,642,194,201,46,0,441,441,
7,Jeff Davis,Ocmulgee 1,1399,194,549,115,0,858,858,
8,Jeff Davis,Ocmulgee 2,499,108,140,51,0,299,299,
