index,County,Precinct,Registered Voters,Blake Tillery (I) (Rep)_Election Day Votes,Blake Tillery (I) (Rep)_Advanced Voting Votes,Blake Tillery (I) (Rep)_Absentee by Mail Votes,Blake Tillery (I) (Rep)_Provisional Votes,Blake Tillery (I) (Rep)_Choice Total,Total,
0,Jeff Davis,Hazlehurst,1406,164,287,94,0,545,545,
1,Jeff Davis,Altamaha 1,703,93,321,48,0,462,462,
2,Jeff Davis,Altamaha 2,1249,316,481,81,0,878,878,
3,Jeff Davis,Blackburn 1,870,109,238,57,0,404,404,
4,Jeff Davis,Blackburn 2,722,177,244,56,0,477,477,
5,Jeff Davis,Whitehead 1,988,115,354,82,0,551,551,
6,Jeff Davis,Whitehead 2,642,184,199,43,0,426,426,
7,Jeff Davis,Ocmulgee 1,1399,204,544,107,0,855,855,
8,Jeff Davis,Ocmulgee 2,499,108,131,45,0,284,284,
