index,County,Precinct,Registered Voters,Julie Copeland Wilkinson (I) (Rep)_Election Day Votes,Julie Copeland Wilkinson (I) (Rep)_Advanced Voting Votes,Julie Copeland Wilkinson (I) (Rep)_Absentee by Mail Votes,Julie Copeland Wilkinson (I) (Rep)_Provisional Votes,Julie Copeland Wilkinson (I) (Rep)_Choice Total,Total,
0,Jeff Davis,Hazlehurst,1406,169,306,94,0,569,569,
1,Jeff Davis,Altamaha 1,703,93,323,49,0,465,465,
2,Jeff Davis,Altamaha 2,1249,328,479,85,0,892,892,
3,Jeff Davis,Blackburn 1,870,115,251,68,0,434,434,
4,Jeff Davis,Blackburn 2,722,174,250,60,0,484,484,
5,Jeff Davis,Whitehead 1,988,118,359,90,0,567,567,
6,Jeff Davis,Whitehead 2,642,190,200,46,0,436,436,
7,Jeff Davis,Ocmulgee 1,1399,203,547,111,0,861,861,
8,Jeff Davis,Ocmulgee 2,499,109,131,43,0,283,283,
