index,County,Precinct,Registered Voters,Tommy C. Carter (I) (Rep)_Election Day Votes,Tommy C. Carter (I) (Rep)_Advanced Voting Votes,Tommy C. Carter (I) (Rep)_Absentee by Mail Votes,Tommy C. Carter (I) (Rep)_Provisional Votes,Tommy C. Carter (I) (Rep)_Choice Total,Total,
0,Jeff Davis,Hazlehurst,1406,176,319,108,0,603,603,
1,Jeff Davis,Altamaha 1,703,97,325,48,0,470,470,
2,Jeff Davis,Altamaha 2,1249,330,476,85,0,891,891,
3,Jeff Davis,Blackburn 1,870,113,259,68,0,440,440,
4,Jeff Davis,Blackburn 2,722,171,254,60,0,485,485,
5,Jeff Davis,Whitehead 1,988,122,367,92,0,581,581,
6,Jeff Davis,Whitehead 2,642,192,205,46,0,443,443,
7,Jeff Davis,Ocmulgee 1,1399,203,561,113,0,877,877,
8,Jeff Davis,Ocmulgee 2,499,107,140,50,0,297,297,
