index,County,Precinct,Registered Voters,Susan Graham Kersey (I) (Rep)_Election Day Votes,Susan Graham Kersey (I) (Rep)_Advanced Voting Votes,Susan Graham Kersey (I) (Rep)_Absentee by Mail Votes,Susan Graham Kersey (I) (Rep)_Provisional Votes,Susan Graham Kersey (I) (Rep)_Choice Total,Total,
0,Jeff Davis,Hazlehurst,1406,180,331,112,0,623,623,
1,Jeff Davis,Altamaha 1,703,96,323,49,0,468,468,
2,Jeff Davis,Altamaha 2,1249,338,478,86,0,902,902,
3,Jeff Davis,Blackburn 1,870,117,262,68,0,447,447,
4,Jeff Davis,Blackburn 2,722,172,261,62,0,495,495,
5,Jeff Davis,Whitehead 1,988,120,375,95,0,590,590,
6,Jeff Davis,Whitehead 2,642,192,205,48,0,445,445,
7,Jeff Davis,Ocmulgee 1,1399,200,560,117,0,877,877,
8,Jeff Davis,Ocmulgee 2,499,106,144,54,0,304,304,
