index,County,Precinct,Registered Voters,Greg Morris (I) (Rep)_Election Day Votes,Greg Morris (I) (Rep)_Advanced Voting Votes,Greg Morris (I) (Rep)_Absentee by Mail Votes,Greg Morris (I) (Rep)_Provisional Votes,Greg Morris (I) (Rep)_Choice Total,Total,
0,Jeff Davis,Altamaha 1,703,93,330,48,0,471,471,
1,Jeff Davis,Altamaha 2,1249,323,485,80,0,888,888,
