index,County,Precinct,Registered Voters,David Miller (Rep)_Election Day Votes,David Miller (Rep)_Advanced Voting Votes,David Miller (Rep)_Absentee by Mail Votes,David Miller (Rep)_Provisional Votes,David Miller (Rep)_Choice Total,Total,
0,Jeff Davis,Hazlehurst,1406,164,300,98,0,562,562,
1,Jeff Davis,Altamaha 1,703,97,324,45,0,466,466,
2,Jeff Davis,Altamaha 2,1249,335,474,82,0,891,891,
3,Jeff Davis,Blackburn 1,870,110,248,67,0,425,425,
4,Jeff Davis,Blackburn 2,722,175,256,59,0,490,490,
5,Jeff Davis,Whitehead 1,988,118,370,89,0,577,577,
6,Jeff Davis,Whitehead 2,642,196,203,45,0,444,444,
7,Jeff Davis,Ocmulgee 1,1399,199,551,108,0,858,858,
8,Jeff Davis,Ocmulgee 2,499,111,140,44,0,295,295,
