index,County,Precinct,Registered Voters,Preston W. Bohannon (I) (Rep)_Election Day Votes,Preston W. Bohannon (I) (Rep)_Advanced Voting Votes,Preston W. Bohannon (I) (Rep)_Absentee by Mail Votes,Preston W. Bohannon (I) (Rep)_Provisional Votes,Preston W. Bohannon (I) (Rep)_Choice Total,Total,
0,Jeff Davis,Hazlehurst,1406,184,341,117,0,642,642,
1,Jeff Davis,Altamaha 1,703,95,330,47,0,472,472,
2,Jeff Davis,Altamaha 2,1249,331,487,86,0,904,904,
3,Jeff Davis,Blackburn 1,870,120,271,74,0,465,465,
4,Jeff Davis,Blackburn 2,722,174,255,60,0,489,489,
5,Jeff Davis,Whitehead 1,988,125,382,94,0,601,601,
6,Jeff Davis,Whitehead 2,642,199,197,49,0,445,445,
7,Jeff Davis,Ocmulgee 1,1399,203,565,122,0,890,890,
8,Jeff Davis,Ocmulgee 2,499,107,139,55,0,301,301,
