index,County,Precinct,Registered Voters,Jackie Johnson (I) (Rep)_Election Day Votes,Jackie Johnson (I) (Rep)_Advanced Voting Votes,Jackie Johnson (I) (Rep)_Absentee by Mail Votes,Jackie Johnson (I) (Rep)_Provisional Votes,Jackie Johnson (I) (Rep)_Choice Total,Keith Higgins (Ind)_Election Day Votes,Keith Higgins (Ind)_Advanced Voting Votes,Keith Higgins (Ind)_Absentee by Mail Votes,Keith Higgins (Ind)_Provisional Votes,Keith Higgins (Ind)_Choice Total,Total,
0,Jeff Davis,Hazlehurst,1406,93,173,47,0,313,105,188,73,0,366,679,
1,Jeff Davis,Altamaha 1,703,77,224,34,0,335,24,118,24,0,166,501,
2,Jeff Davis,Altamaha 2,1249,219,316,61,0,596,122,172,25,0,319,915,
3,Jeff Davis,Blackburn 1,870,78,184,45,0,307,44,81,29,0,154,461,
4,Jeff Davis,Blackburn 2,722,133,186,49,0,368,47,74,16,0,137,505,
5,Jeff Davis,Whitehead 1,988,82,256,60,0,398,40,125,37,0,202,600,
6,Jeff Davis,Whitehead 2,642,158,161,43,0,362,35,48,13,0,96,458,
7,Jeff Davis,Ocmulgee 1,1399,142,406,86,0,634,69,173,37,0,279,913,
8,Jeff Davis,Ocmulgee 2,499,89,92,32,0,213,27,49,21,0,97,310,
