index,County,Precinct,Registered Voters,Jackie C. Trim (I) (Rep)_Election Day Votes,Jackie C. Trim (I) (Rep)_Advanced Voting Votes,Jackie C. Trim (I) (Rep)_Absentee by Mail Votes,Jackie C. Trim (I) (Rep)_Provisional Votes,Jackie C. Trim (I) (Rep)_Choice Total,Total,
0,Tattnall,Cobbtown,761,232,173,85,0,490,490,
1,Tattnall,Shiloh,1111,111,292,71,0,474,474,
2,Tattnall,Collins,1482,207,548,131,0,886,886,
3,Tattnall,Manassas,265,80,69,15,0,164,164,
4,Tattnall,District II,2500,260,921,181,0,1362,1362,
5,Tattnall,East Glennville,2506,330,935,284,0,1549,1549,
6,Tattnall,District IV,2497,326,876,220,0,1422,1422,
7,Tattnall,District V,1062,213,342,81,0,636,636,
