index,County,Precinct,Registered Voters,Laura F. Adams (I) (Rep)_Election Day Votes,Laura F. Adams (I) (Rep)_Advanced Voting Votes,Laura F. Adams (I) (Rep)_Absentee by Mail Votes,Laura F. Adams (I) (Rep)_Provisional Votes,Laura F. Adams (I) (Rep)_Choice Total,Total,
0,Tattnall,Cobbtown,761,229,171,84,0,484,484,
1,Tattnall,Shiloh,1111,111,293,68,0,472,472,
2,Tattnall,Collins,1482,203,548,125,0,876,876,
3,Tattnall,Manassas,265,77,67,13,0,157,157,
4,Tattnall,District II,2500,247,896,170,0,1313,1313,
5,Tattnall,East Glennville,2506,329,945,285,0,1559,1559,
6,Tattnall,District IV,2497,327,883,225,0,1435,1435,
7,Tattnall,District V,1062,210,348,81,0,639,639,
