index,County,Precinct,Registered Voters,Rick W. Allen (I) (Rep)_Election Day Votes,Rick W. Allen (I) (Rep)_Advanced Voting Votes,Rick W. Allen (I) (Rep)_Absentee by Mail Votes,Rick W. Allen (I) (Rep)_Provisional Votes,Rick W. Allen (I) (Rep)_Choice Total,Liz Johnson (Dem)_Election Day Votes,Liz Johnson (Dem)_Advanced Voting Votes,Liz Johnson (Dem)_Absentee by Mail Votes,Liz Johnson (Dem)_Provisional Votes,Liz Johnson (Dem)_Choice Total,Total,
0,Tattnall,Cobbtown,761,209,159,69,0,437,35,26,26,0,87,524,
1,Tattnall,Shiloh,1111,92,232,50,0,374,26,97,41,0,164,538,
2,Tattnall,Collins,1482,193,488,97,0,778,29,106,60,0,195,973,
3,Tattnall,Manassas,265,71,60,10,0,141,19,17,10,0,46,187,
4,Tattnall,District II,2500,201,734,129,0,1064,85,300,100,0,485,1549,
5,Tattnall,East Glennville,2506,285,870,246,0,1401,66,177,108,0,351,1752,
6,Tattnall,District IV,2497,269,784,163,0,1216,104,224,138,0,466,1682,
7,Tattnall,District V,1062,209,326,74,0,609,15,50,20,0,85,694,
