index,County,Precinct,Registered Voters,"William """"Bill"""" Werkheiser (I) (Rep)_Election Day Votes","William """"Bill"""" Werkheiser (I) (Rep)_Advanced Voting Votes","William """"Bill"""" Werkheiser (I) (Rep)_Absentee by Mail Votes","William """"Bill"""" Werkheiser (I) (Rep)_Provisional Votes","William """"Bill"""" Werkheiser (I) (Rep)_Choice Total",Total,
0,Tattnall,Cobbtown,761,225,172,77,0,474,474,
1,Tattnall,Shiloh,1111,106,282,67,0,455,455,
2,Tattnall,Collins,1482,197,532,119,0,848,848,
3,Tattnall,Manassas,265,76,66,10,0,152,152,
4,Tattnall,District II,2500,246,876,160,0,1282,1282,
5,Tattnall,East Glennville,2506,327,942,286,0,1555,1555,
6,Tattnall,District IV,2497,316,861,209,0,1386,1386,
7,Tattnall,District V,1062,209,341,81,0,631,631,
