index,County,Precinct,Registered Voters,Paige Dasher Mulligan (Rep)_Election Day Votes,Paige Dasher Mulligan (Rep)_Advanced Voting Votes,Paige Dasher Mulligan (Rep)_Absentee by Mail Votes,Paige Dasher Mulligan (Rep)_Provisional Votes,Paige Dasher Mulligan (Rep)_Choice Total,Total,
0,Tattnall,Cobbtown,761,227,172,85,0,484,484,
1,Tattnall,Shiloh,1111,110,287,70,0,467,467,
2,Tattnall,Collins,1482,200,532,118,0,850,850,
3,Tattnall,Manassas,265,77,67,13,0,157,157,
4,Tattnall,District II,2500,243,887,166,0,1296,1296,
5,Tattnall,East Glennville,2506,335,956,282,0,1573,1573,
6,Tattnall,District IV,2497,326,884,218,0,1428,1428,
7,Tattnall,District V,1062,214,349,77,0,640,640,
