index,County,Precinct,Registered Voters,Bradley B. Anderson (Rep)_Election Day Votes,Bradley B. Anderson (Rep)_Advanced Voting Votes,Bradley B. Anderson (Rep)_Absentee by Mail Votes,Bradley B. Anderson (Rep)_Provisional Votes,Bradley B. Anderson (Rep)_Choice Total,Total,
0,Tattnall,Cobbtown,761,234,174,87,0,495,495,
1,Tattnall,Shiloh,1111,112,304,74,0,490,490,
2,Tattnall,Collins,1482,204,557,133,0,894,894,
3,Tattnall,Manassas,265,78,70,14,0,162,162,
4,Tattnall,District II,2500,257,934,180,0,1371,1371,
5,Tattnall,East Glennville,2506,335,950,285,0,1570,1570,
6,Tattnall,District IV,2497,328,891,224,0,1443,1443,
7,Tattnall,District V,1062,206,344,81,0,631,631,
