index,County,Precinct,Registered Voters,Bill Kicklighter (I) (Rep)_Election Day Votes,Bill Kicklighter (I) (Rep)_Advanced Voting Votes,Bill Kicklighter (I) (Rep)_Absentee by Mail Votes,Bill Kicklighter (I) (Rep)_Provisional Votes,Bill Kicklighter (I) (Rep)_Choice Total,Total,
0,Tattnall,Shiloh,1111,106,283,69,0,458,458,
1,Tattnall,District V,1062,210,339,79,0,628,628,
