index,County,Precinct,Registered Voters,Blake Tillery (I) (Rep)_Election Day Votes,Blake Tillery (I) (Rep)_Advanced Voting Votes,Blake Tillery (I) (Rep)_Absentee by Mail Votes,Blake Tillery (I) (Rep)_Provisional Votes,Blake Tillery (I) (Rep)_Choice Total,Total,
0,Tattnall,Shiloh,1111,104,277,66,0,447,447,
1,Tattnall,East Glennville,2506,319,924,283,0,1526,1526,
2,Tattnall,District IV,2497,314,846,200,0,1360,1360,
3,Tattnall,District V,1062,216,337,80,0,633,633,
