index,County,Precinct,Registered Voters,Keith Dunn (Rep)_Election Day Votes,Keith Dunn (Rep)_Advanced Voting Votes,Keith Dunn (Rep)_Absentee by Mail Votes,Keith Dunn (Rep)_Provisional Votes,Keith Dunn (Rep)_Choice Total,Total,
0,Paulding,Legacy Bapt Church,4443,401,1343,611,4,2359,2359,
1,Paulding,Watson Govt Cmplx,10774,164,515,214,2,895,895,
2,Paulding,West Ridge Church,11546,1235,4211,1522,5,6973,6973,
3,Paulding,Events Place,4923,123,374,150,1,648,648,
4,Paulding,Poplar Sprgs Bapt Church,4825,208,781,274,0,1263,1263,
5,Paulding,Nebo Elem School,10070,87,266,83,1,437,437,
6,Paulding,White Oak Park,5833,341,1093,341,5,1780,1780,
7,Paulding,Picketts Mill Baptist Church,2748,186,565,204,0,955,955,
