index,County,Precinct,Registered Voters,Mike Dugan (I) (Rep)_Election Day Votes,Mike Dugan (I) (Rep)_Advanced Voting Votes,Mike Dugan (I) (Rep)_Absentee by Mail Votes,Mike Dugan (I) (Rep)_Provisional Votes,Mike Dugan (I) (Rep)_Choice Total,Montenia Edwards (Dem)_Election Day Votes,Montenia Edwards (Dem)_Advanced Voting Votes,Montenia Edwards (Dem)_Absentee by Mail Votes,Montenia Edwards (Dem)_Provisional Votes,Montenia Edwards (Dem)_Choice Total,Total,
0,Paulding,D Wright Innovation Ctr,7137,501,2231,375,2,3109,250,1046,613,1,1910,5019,
1,Paulding,Nebo Elem School,10070,706,2083,488,1,3278,178,566,415,2,1161,4439,
2,Paulding,Mulberry Rock Park,5911,700,2327,606,4,3637,111,367,239,1,718,4355,
3,Paulding,Taylor Farm Park,2761,77,400,139,0,616,44,157,82,0,283,899,
4,Paulding,Dobbins Middle School,8081,407,2034,507,2,2950,351,1567,975,2,2895,5845,
