index,County,Precinct,Registered Voters,Dave Carmichael (I) (Rep)_Election Day Votes,Dave Carmichael (I) (Rep)_Advanced Voting Votes,Dave Carmichael (I) (Rep)_Absentee by Mail Votes,Dave Carmichael (I) (Rep)_Provisional Votes,Dave Carmichael (I) (Rep)_Choice Total,Taurus Madric-Morris (Dem)_Election Day Votes,Taurus Madric-Morris (Dem)_Advanced Voting Votes,Taurus Madric-Morris (Dem)_Absentee by Mail Votes,Taurus Madric-Morris (Dem)_Provisional Votes,Taurus Madric-Morris (Dem)_Choice Total,Total,
0,Paulding,Burnt Hickory Park,6242,618,2777,646,4,4045,117,452,236,2,807,4852,
1,Paulding,Crossroads Library,3662,330,1511,427,1,2269,79,380,298,0,757,3026,
2,Paulding,Shelton Elementary,5095,472,1642,444,3,2561,163,763,422,0,1348,3909,
3,Paulding,Russom Elementary,8243,713,2820,1062,5,4600,198,955,822,2,1977,6577,
4,Paulding,Paulding Sr Center,5972,505,1820,425,4,2754,194,849,512,2,1557,4311,
5,Paulding,Legacy Bapt Church,4443,326,1085,470,1,1882,138,578,409,4,1129,3011,
6,Paulding,Watson Govt Cmplx,10774,662,2722,854,8,4246,374,1551,909,3,2837,7083,
7,Paulding,West Ridge Church,11546,1033,3669,1226,3,5931,311,1209,890,2,2412,8343,
8,Paulding,Events Place,4923,236,764,302,3,1305,242,1123,740,3,2108,3413,
9,Paulding,Poplar Sprgs Bapt Church,4825,261,950,309,0,1520,240,954,541,1,1736,3256,
10,Paulding,D Wright Innovation Ctr,7137,503,2226,382,2,3113,244,1033,587,1,1865,4978,
11,Paulding,Nebo Elem School,10070,1102,3289,795,4,5190,262,896,627,6,1791,6981,
12,Paulding,White Oak Park,5833,499,1642,449,7,2597,214,714,449,2,1379,3976,
13,Paulding,Mulberry Rock Park,5911,705,2324,589,4,3622,110,360,246,1,717,4339,
14,Paulding,Beulahland Baptist Church,2547,370,882,189,3,1444,53,198,128,0,379,1823,
15,Paulding,Paulding County Airport,4132,533,1308,323,3,2167,112,339,225,2,678,2845,
16,Paulding,Picketts Mill Baptist Church,2748,308,973,290,0,1571,64,265,235,1,565,2136,
17,Paulding,Taylor Farm Park,2761,171,786,290,0,1247,107,389,194,0,690,1937,
18,Paulding,Dobbins Middle School,8081,415,2048,506,2,2971,336,1531,952,2,2821,5792,
