index,County,Precinct,Registered Voters,Lindsey Eberhart (I) (Rep)_Election Day Votes,Lindsey Eberhart (I) (Rep)_Advanced Voting Votes,Lindsey Eberhart (I) (Rep)_Absentee by Mail Votes,Lindsey Eberhart (I) (Rep)_Provisional Votes,Lindsey Eberhart (I) (Rep)_Choice Total,Total,
0,Paulding,Burnt Hickory Park,6242,691,3004,728,5,4428,4428,
1,Paulding,Crossroads Library,3662,367,1672,520,1,2560,2560,
2,Paulding,Shelton Elementary,5095,565,1970,593,3,3131,3131,
3,Paulding,Russom Elementary,8243,831,3255,1336,6,5428,5428,
4,Paulding,Paulding Sr Center,5972,615,2193,627,6,3441,3441,
5,Paulding,Legacy Bapt Church,4443,400,1340,633,3,2376,2376,
6,Paulding,Watson Govt Cmplx,10774,886,3447,1233,9,5575,5575,
7,Paulding,West Ridge Church,11546,1241,4216,1560,5,7022,7022,
8,Paulding,Events Place,4923,374,1267,553,3,2197,2197,
9,Paulding,Poplar Sprgs Bapt Church,4825,393,1377,509,0,2279,2279,
10,Paulding,D Wright Innovation Ctr,7137,635,2691,603,2,3931,3931,
11,Paulding,Nebo Elem School,10070,1260,3691,1025,4,5980,5980,
12,Paulding,White Oak Park,5833,640,1985,611,8,3244,3244,
13,Paulding,Mulberry Rock Park,5911,774,2488,693,5,3960,3960,
14,Paulding,Beulahland Baptist Church,2547,404,998,234,3,1639,1639,
15,Paulding,Paulding County Airport,4132,613,1479,425,5,2522,2522,
16,Paulding,Picketts Mill Baptist Church,2748,343,1092,366,1,1802,1802,
17,Paulding,Taylor Farm Park,2761,231,944,347,0,1522,1522,
18,Paulding,Dobbins Middle School,8081,583,2727,859,2,4171,4171,
