index,County,Precinct,Registered Voters,Martin E. Valbuena (I) (Rep)_Election Day Votes,Martin E. Valbuena (I) (Rep)_Advanced Voting Votes,Martin E. Valbuena (I) (Rep)_Absentee by Mail Votes,Martin E. Valbuena (I) (Rep)_Provisional Votes,Martin E. Valbuena (I) (Rep)_Choice Total,Total,
0,Paulding,Burnt Hickory Park,6242,691,3000,720,5,4416,4416,
1,Paulding,Crossroads Library,3662,369,1661,515,1,2546,2546,
2,Paulding,Shelton Elementary,5095,565,1964,579,3,3111,3111,
3,Paulding,Russom Elementary,8243,826,3234,1318,6,5384,5384,
4,Paulding,Paulding Sr Center,5972,605,2177,611,6,3399,3399,
5,Paulding,Legacy Bapt Church,4443,402,1337,617,3,2359,2359,
6,Paulding,Watson Govt Cmplx,10774,883,3431,1198,9,5521,5521,
7,Paulding,West Ridge Church,11546,1235,4199,1521,5,6960,6960,
8,Paulding,Events Place,4923,373,1257,544,3,2177,2177,
9,Paulding,Poplar Sprgs Bapt Church,4825,394,1365,500,0,2259,2259,
10,Paulding,D Wright Innovation Ctr,7137,631,2688,598,2,3919,3919,
11,Paulding,Nebo Elem School,10070,1243,3676,1015,4,5938,5938,
12,Paulding,White Oak Park,5833,636,1985,603,8,3232,3232,
13,Paulding,Mulberry Rock Park,5911,770,2480,684,5,3939,3939,
14,Paulding,Beulahland Baptist Church,2547,403,988,232,3,1626,1626,
15,Paulding,Paulding County Airport,4132,616,1475,411,5,2507,2507,
16,Paulding,Picketts Mill Baptist Church,2748,347,1087,367,1,1802,1802,
17,Paulding,Taylor Farm Park,2761,232,945,341,0,1518,1518,
18,Paulding,Dobbins Middle School,8081,584,2710,837,2,4133,4133,
