index,County,Precinct,Registered Voters,Micah Gravley (I) (Rep)_Election Day Votes,Micah Gravley (I) (Rep)_Advanced Voting Votes,Micah Gravley (I) (Rep)_Absentee by Mail Votes,Micah Gravley (I) (Rep)_Provisional Votes,Micah Gravley (I) (Rep)_Choice Total,Angela Mayfield (Dem)_Election Day Votes,Angela Mayfield (Dem)_Advanced Voting Votes,Angela Mayfield (Dem)_Absentee by Mail Votes,Angela Mayfield (Dem)_Provisional Votes,Angela Mayfield (Dem)_Choice Total,Total,
0,Paulding,D Wright Innovation Ctr,7137,494,2074,358,2,2928,248,1022,544,1,1815,4743,
1,Paulding,Nebo Elem School,10070,704,2091,493,1,3289,185,573,410,2,1170,4459,
2,Paulding,Mulberry Rock Park,5911,320,1216,287,4,1827,63,223,145,0,431,2258,
