index,County,Precinct,Registered Voters,Jason C. Jones (Rep)_Election Day Votes,Jason C. Jones (Rep)_Advanced Voting Votes,Jason C. Jones (Rep)_Absentee by Mail Votes,Jason C. Jones (Rep)_Provisional Votes,Jason C. Jones (Rep)_Choice Total,Kimberly Alexander (I) (Dem)_Election Day Votes,Kimberly Alexander (I) (Dem)_Advanced Voting Votes,Kimberly Alexander (I) (Dem)_Absentee by Mail Votes,Kimberly Alexander (I) (Dem)_Provisional Votes,Kimberly Alexander (I) (Dem)_Choice Total,Total,
0,Paulding,D Wright Innovation Ctr,7137,4,163,34,0,201,7,41,54,0,102,303,
1,Paulding,Taylor Farm Park,2761,78,396,136,0,610,43,165,87,0,295,905,
2,Paulding,Dobbins Middle School,8081,405,1982,487,2,2876,359,1623,983,2,2967,5843,
